week,ycrit
2024-02-19 00:00:00+00:00,128
2024-02-26 00:00:00+00:00,86
2024-03-04 00:00:00+00:00,160
2024-03-11 00:00:00+00:00,52
2024-03-18 00:00:00+00:00,49
2024-03-25 00:00:00+00:00,37
2024-04-01 00:00:00+00:00,67
2024-04-08 00:00:00+00:00,34
2024-04-15 00:00:00+00:00,46
2024-04-22 00:00:00+00:00,30
2024-04-29 00:00:00+00:00,29
2024-05-06 00:00:00+00:00,590
2024-05-13 00:00:00+00:00,37
2024-05-20 00:00:00+00:00,76
2024-05-27 00:00:00+00:00,162
2024-06-03 00:00:00+00:00,37
2024-06-10 00:00:00+00:00,26
2024-06-17 00:00:00+00:00,12
2024-06-24 00:00:00+00:00,70
2024-07-01 00:00:00+00:00,9
2024-07-08 00:00:00+00:00,26
2024-07-15 00:00:00+00:00,26
2024-07-22 00:00:00+00:00,41
2024-07-29 00:00:00+00:00,11
2024-08-05 00:00:00+00:00,8
2024-08-12 00:00:00+00:00,4
2024-08-19 00:00:00+00:00,14
2024-08-26 00:00:00+00:00,25
2024-09-02 00:00:00+00:00,12
2024-09-09 00:00:00+00:00,10
2024-09-16 00:00:00+00:00,17
2024-09-23 00:00:00+00:00,19
2024-09-30 00:00:00+00:00,12
2024-10-07 00:00:00+00:00,3
2024-10-14 00:00:00+00:00,2
2024-10-21 00:00:00+00:00,53
2024-10-28 00:00:00+00:00,12
2024-11-04 00:00:00+00:00,1
2024-11-11 00:00:00+00:00,12
2024-11-18 00:00:00+00:00,33
2024-11-25 00:00:00+00:00,21
2024-12-02 00:00:00+00:00,4
2024-12-09 00:00:00+00:00,22
2024-12-16 00:00:00+00:00,17
2024-12-23 00:00:00+00:00,24
2024-12-30 00:00:00+00:00,9
2025-01-06 00:00:00+00:00,10
2025-01-13 00:00:00+00:00,15
2025-01-20 00:00:00+00:00,4
2025-01-27 00:00:00+00:00,23
2025-02-03 00:00:00+00:00,9
2025-02-10 00:00:00+00:00,6
2025-02-17 00:00:00+00:00,8
2025-02-24 00:00:00+00:00,13
2025-03-03 00:00:00+00:00,135
2025-03-10 00:00:00+00:00,2
2025-03-17 00:00:00+00:00,9
2025-03-24 00:00:00+00:00,5
2025-03-31 00:00:00+00:00,26
2025-04-07 00:00:00+00:00,1
2025-04-14 00:00:00+00:00,7
2025-04-21 00:00:00+00:00,4
2025-04-28 00:00:00+00:00,9
2025-05-05 00:00:00+00:00,61
2025-05-12 00:00:00+00:00,2
2025-05-19 00:00:00+00:00,7
2025-05-26 00:00:00+00:00,4
2025-06-02 00:00:00+00:00,2
2025-06-09 00:00:00+00:00,1
